gene_names,ApoE.2,ApoE.3,ApoE.4,ApoE.5,ApoE.6,DKO.1,DKO.3,DKO.5,DKO.6,DKO.7,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2210407C18Rik,38.8717645,179.6351023,332.0764999,199.2241956,303.3740212,15.63083389,43.14757977,38.83583271,36.24108132,120.6133086,147.585147,2.057468504,0.550554708,3.737082756,0.000186168,0.046749003
Slc22a3,2052.598173,4286.789509,3356.411629,3545.947725,1123.303808,1244.605149,1337.574973,1412.784617,1058.097453,1513.026948,1866.074416,1.129580625,0.303018316,3.727763518,0.000193187,0.046749003
Tnfrsf11b,868.6994327,2721.800974,7397.61378,3147.499334,3932.929878,606.6717405,728.605722,1719.27281,1160.425212,1684.565876,1810.405465,1.615000134,0.433030005,3.729534018,0.000191834,0.046749003
Dio2,3141.852617,2953.163462,2944.599246,3326.072241,3544.829779,5369.191443,10962.42714,17475.0751,10330.1294,3119.864248,5750.563351,-1.57057228,0.421918618,-3.722453125,0.000197297,0.046837659
Igj,1846.408814,368.6751838,1179.152995,297.6215117,1388.414439,2369.048262,3077.206939,5636.443828,3454.272477,2167.01911,1664.093991,-1.716932194,0.462165194,-3.714975112,0.000203224,0.047592792
Lum,7648.442184,12392.94106,22892.64097,6965.558155,22876.95209,4580.811258,4520.689608,10604.28156,4369.537433,5379.353561,8253.875159,1.305021937,0.35310026,3.695896281,0.000219112,0.050629576
Aspm,83.6587975,90.28780011,122.8870663,86.2494993,165.8080236,62.52333558,70.60513053,69.27472861,45.47900401,62.98695002,82.20581455,0.828970269,0.225909239,3.669483691,0.000243041,0.055419708
Cyp11a1,5.070230152,11.28597501,0.938069209,6.073908402,30.97512528,14.65390678,1093.398896,7.347319701,288.5074317,2.680295746,102.1008375,-4.692582609,1.281211608,-3.662613249,0.000249655,0.056188659
Ankrd9,730.9581802,597.2161778,513.1238572,547.8665378,687.8299879,1338.390152,1640.588658,1301.525204,1397.768764,672.7542322,935.0910364,-1.045676729,0.285982122,-3.656440904,0.000255741,0.056820479
Cnnm2,1384.172831,1324.221068,1212.923487,1573.142276,1638.037508,2023.216062,2401.555065,2708.012118,2115.484296,2180.420589,1755.728848,-0.680259861,0.186379212,-3.649869815,0.000262373,0.056836605
Rnf144b,887.2902766,928.2714449,836.7577342,945.1001473,1054.065293,1723.299437,1640.588658,1319.368695,912.422518,1265.099592,1111.21739,-0.560289195,0.153444047,-3.651423473,0.000260791,0.056836605
Cd44,2983.830444,3810.897563,6917.322346,2654.297972,4616.2047,2052.523876,1789.643934,2519.08104,2951.160995,2405.565432,2777.110093,0.840444647,0.23245143,3.615570995,0.000299686,0.058800071
Hist2h2bb,410.6886423,657.4080445,744.8269518,680.277741,659.5879619,451.3403287,313.8005801,305.4385762,387.2821436,438.2283544,539.442464,0.733637974,0.203048656,3.613114165,0.000302541,0.058800071
Ibsp,4.225191793,84.6448126,818.9344193,46.16170385,306.1071204,55.68484575,28.43817758,4.198468401,4.263656626,40.20443618,108.0286422,3.250324155,0.898799656,3.616294393,0.00029885,0.058800071
Mir1904,16.05572881,14.10746877,13.13296892,14.57738016,14.57652955,48.84635592,30.3994312,55.62970631,19.18645482,25.46280958,29.62781693,-1.303764508,0.359791864,-3.623663118,0.00029046,0.058800071
Msln,22.81603568,10.3454771,0.938069209,1.21478168,1.822066193,152.4006305,135.3265002,68.22511151,84.56252309,6.700739364,57.26041007,-3.578535923,0.987062093,-3.62544155,0.000288468,0.058800071
Serpina3h,152.1069046,17.86946044,254.2167556,14.57738016,23.68686051,19.53854237,10.78689494,14.6946394,15.63340763,17.42192235,37.74836602,2.568885547,0.708783536,3.624358375,0.00028968,0.058800071
Slc25a10,1278.543037,686.56348,785.1639277,636.5456005,1081.396286,1437.059791,2484.908344,2456.104014,1143.370585,1182.010424,1110.937593,-0.961402069,0.266264423,-3.610704191,0.000305367,0.058800071
Syvn1,1526.984314,1360.900487,1491.530042,1559.779678,1238.093978,1636.352923,1731.786952,2071.944156,1784.340298,1903.009979,1571.709042,-0.34670975,0.095431489,-3.633074915,0.000280064,0.058800071
Col7a1,134.361099,142.0151856,144.4626582,145.7738016,116.6122364,190.5007881,213.7766452,319.0835985,157.0446857,324.3157852,167.5151832,-0.814230174,0.226276736,-3.598382183,0.000320203,0.06047505
Haao,45.63207137,38.56041463,87.24043642,46.16170385,41.90752244,22.46932372,23.53504351,16.7938736,29.84559638,26.80295746,34.67781747,1.114861027,0.310004515,3.596273521,0.000322808,0.06047505
Mettl7b,11.83053702,11.28597501,13.13296892,13.36259848,6.377231676,30.28474067,22.5544167,27.2900446,23.45011144,17.42192235,17.1791051,-1.130314325,0.314422903,-3.594885469,0.000324534,0.06047505
Pou2af1,107.3198715,23.51244795,75.0455367,14.57738016,94.74744204,226.6470915,167.687185,277.0989145,197.5494237,143.3958224,102.244221,-1.678867461,0.468644515,-3.582390081,0.000340465,0.062107964
Cnga4,17.74580553,13.16697085,19.69945338,31.58432369,8.199297869,5.86156271,7.845014504,9.446553902,4.974266064,1.340147873,13.08106033,1.575059264,0.443611421,3.550538129,0.000384444,0.068684765
