Tank,Raceway,Tank.Raceway,Colony,Site,Color,Infect,Oil,Dispersant,Trt,Hyb Date,Chip,Array,chip # (array),chp_bl_hd_st_sp_tk_trt
7,C,C7,EL103,EL,full yellow,H,O,C,HOC,32212,20,2,253295110039_2,M39_B2_032212_EL_EL103_C7_HOC
2,C,C2,WL105,WL,neon yellow,H,U,C,HUC,32212,20,3,253295110039_3,M39_B3_032212_WL_WL105_C2_HUC
7,C,C7,EL102,EL,full purple,H,O,C,HOC,32212,20,4,253295110039_4,M39_B4_032212_EL_EL102_C7_HOC
7,C,C7,EL105,EL,full red,H,O,C,HOC,32212,20,5,253295110039_5,M39_B5_032212_EL_EL105_C7_HOC
7,C,C7,WW104,WW,1/2 blue,H,O,C,HOC,32212,20,6,253295110039_6,M39_B6_032212_WW_WW104_C7_HOC
7,C,C7,WW102,WW,1/2 purple,H,O,C,HOC,32212,20,7,253295110039_7,M39_B7_032212_WW_WW102_C7_HOC
7,C,C7,EL101,EL,full white,H,O,C,HOC,32212,20,8,253295110039_8,M39_B8_032212_EL_EL101_C7_HOC
8,B,B8,WW103,WW,1/2 yellow,H,U,C,HUC,32212,21,1,253295110040_1,M40_B1_032212_WW_WW103_B8_HUC
8,B,B8,WW105,WW,1/2 red,H,U,C,HUC,32212,21,2,253295110040_2,M40_B2_032212_WW_WW105_B8_HUC
2,C,C2,WL102,WL,black zip,H,U,C,HUC,32212,21,3,253295110040_3,M40_B3_032212_WL_WL102_C2_HUC
2,C,C2,WL103,WL,pink zip,H,U,C,HUC,32212,21,4,253295110040_4,M40_B4_032212_WL_WL103_C2_HUC
8,B,B8,WW102,WW,1/2 purple,H,U,C,HUC,32212,21,5,253295110040_5,M40_B5_032212_WW_WW102_B8_HUC
8,B,B8,WW104,WW,1/2 blue,H,U,C,HUC,32212,21,6,253295110040_6,M40_B6_032212_WW_WW104_B8_HUC
8,B,B8,WL103,WL,pink zip,H,U,C,HUC,32212,21,7,253295110040_7,M40_B7_032212_WL_WL103_B8_HUC
8,B,B8,WL104,WL,orange,H,U,C,HUC,32212,21,8,253295110040_8,M40_B8_032212_WL_WL103_B8_HUC
2,B,B2,WW103,WW,1/2 yellow,H,O,C,HOC,32212,22,1,253295110041_1,M41_B1_032212_WW_WW103_B2_HOC
2,B,B2,WL105,WL,neon yellow,H,O,C,HOC,32212,22,2,253295110041_2,M41_B2_032212_WL_WL105_B2_HOC
2,B,B2,WL103,WL,pink zip,H,O,C,HOC,32212,22,3,253295110041_3,M41_B3_032212_WL_WL103_B2_HOC
2,B,B2,EL102,EL,full purple,H,O,C,HOC,32212,22,4,253295110041_4,M41_B4_032212_EL_EL102_B2_HOC
2,B,B2,WL102,WL,black zip,H,O,C,HOC,32212,22,5,253295110041_5,M41_B5_032212_WL_WL102_B2_HOC
2,C,C2,WL101,WL,green zip,H,U,C,HUC,32212,22,6,253295110041_6,M41_B6_032212_WL_WL101_C2_HUC
2,C,C2,WL104,WL,orange,H,U,C,HUC,32212,22,7,253295110041_7,M41_B7_032212_WL_WL104_C2_HUC
2,C,C2,WW105,WW,1/2 red,H,U,C,HUC,32212,22,8,253295110041_8,M41_B8_032212_WW_WW105_C2_HUC
2,C,C2,WW102,WW,1/2 purple,H,U,C,HUC,32212,23,1,253295110042_1,M42_B1_032212_WW_WW102_C2_HUC
7,C,C7,WW105,WW,1/2 red,H,O,C,HOC,32212,23,2,253295110042_2,M42_B2_032212_WW_WW105_C7_HOC
8,B,B8,EL104,EL,full blue,H,U,C,HUC,32212,23,3,253295110042_3,M42_B3_032212_EL_EL104_B8_HUC
4,A,A4,WL105,WL,neon yellow,H,U,C,HUC,32212,23,4,253295110042_4,M42_B4_032212_WL_WL105_A4_HUC
2,B,B2,WW102,WW,1/2 purple,H,O,C,HOC,32212,23,5,253295110042_5,M42_B5_032212_WW_WW102_B2_HOC
2,B,B2,WW104,WW,1/2 blue,H,O,C,HOC,32212,23,6,253295110042_6,M42_B6_032212_WW_WW104_B2_HOC
2,B,B2,EL105,EL,full red,H,O,C,HOC,32212,23,7,253295110042_7,M42_B7_032212_EL_EL105_B2_HOC
1,C,C1,EL105,EL,full red,H,U,D,HUD,32212,23,8,253295110042_8,M42_B8_032212_EL_EL105_C1_HUD
2,C,C2,WW104,WW,1/2 blue,H,U,C,HUC,31512,24,1,253295110043_1,M43_B1_031512_WW_WW104_C2_HUC
5,A,A5,WW101,WW,1/2 white,H,O,D,HOD,31512,24,2,253295110043_2,M43_B2_031512_WW_WW101_A5_HOD
7,B,B7,WW105,WW,1/2 red,H,O,D,HOD,31512,24,3,253295110043_3,M43_B3_031512_WW_WW105_B7_HOD
1,C,C1,WW102,WW,1/2 purple,H,U,D,HUD,31512,24,4,253295110043_4,M43_B4_031512_WW_WW102_C1_HUD
1,C,C1,WW103,WW,1/2 yellow,H,U,D,HUD,31512,24,5,253295110043_5,M43_B5_031512_WW_WW103_C1_HUD
4,A,A4,EL102,EL,full purple,H,U,C,HUC,31512,24,6,253295110043_6,M43_B6_031512_EL_EL102_A4_HUC
8,B,B8,EL105,EL,full red,H,U,C,HUC,31512,24,7,253295110043_7,M43_B7_031512_EL_EL105_B8_HUC
8,B,B8,WW101,WW,1/2 white,H,U,C,HUC,31512,24,8,253295110043_8,M43_B8_031512_WW_WW101_B8_HUC
2,C,C2,EL103,EL,full yellow,H,U,C,HUC,30812,25,1,253295110044_1,M44_B1_030812_EL_EL103_C2_HUC
6,A,A6,EL102,EL,full purple,H,O,C,HOC,30812,25,2,253295110044_2,M44_B2_030812_EL_EL102_A6_HOC
2,B,B2,EL103,EL,full yellow,H,O,C,HOC,30812,25,3,253295110044_3,M44_B3_030812_EL_EL103_B2_HOC
2,C,C2,EL104,EL,full blue,H,U,C,HUC,30812,25,4,253295110044_4,M44_B4_030812_EL_EL104_C2_HUC
1,C,C1,WL104,WL,orange,H,U,D,HUD,30812,25,5,253295110044_5,M44_B5_030812_WL_WL104_C1_HUD
5,A,A5,WL105,WL,neon yellow,H,O,D,HOD,30812,25,6,253295110044_6,M44_B6_030812_WL_WL105_A5_HOD
2,B,B2,EL101,EL,full white,H,O,C,HOC,30812,25,7,253295110044_7,M44_B7_030812_EL_EL101_B2_HOC
8,B,B8,EL101,EL,full white,H,U,C,HUC,30812,26,1,253295110045_1,M45_B1_030812_EL_EL101_B8_HUC
8,B,B8,WL105,WL,neon yellow,H,U,C,HUC,30812,26,2,253295110045_2,M45_B2_030812_WL_WL105_B8_HUC
2,C,C2,WW103,WW,1/2 yellow,H,U,C,HUC,30812,26,3,253295110045_3,M45_B3_030812_WW_WW103_C2_HUC
1,C,C1,WW101,WW,1/2 white,H,U,D,HUD,30812,26,4,253295110045_4,M45_B4_030812_WW_WW101_C1_HUD
2,B,B2,WL101,WL,green zip,H,O,C,HOC,30812,26,5,253295110045_5,M45_B5_030812_WL_WL101_B2_HOC
2,B,B2,WW101,WW,1/2 white,H,O,C,HOC,30812,26,6,253295110045_6,M45_B6_030812_WW_WW101_B2_HOC
2,C,C2,WW101,WW,1/2 white,H,U,C,HUC,30812,26,7,253295110045_7,M45_B7_030812_WW_WW101_C2_HUC
2,C,C2,EL105,EL,full red,H,U,C,HUC,30812,26,8,253295110045_8,M45_B8_030812_EL_EL105_C2_HUC
1,C,C1,EL104,EL,full blue,H,U,D,HUD,21612,27,1,253295110046_1,M46_B1_021612_EL_EL104_C1_HUD
1,C,C1,WW104,WW,1/2 blue,H,U,D,HUD,21612,27,2,253295110046_2,M46_B2_021612_WW_WW104_C1_HUD
